"Cluster";"weak_strong";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"strong";"strong";"GO:0005550";"pheromone binding";"28/316";"91/22669";3.32893528017317e-30;7.45681502758789e-28;7.2185333443755e-28;"Vmn1r225/Vmn1r226/Vmn1r227/Vmn1r228/Vmn1r229/Vmn1r230/Vmn1r231/Vmn1r232/Vmn1r233/Vmn1r234/Vmn1r235/Vmn1r236/Vmn1r237/Vmn1r66/Vmn1r67/Vmn1r70/Vmn1r73/Vmn1r74/Vmn1r75/Vmn1r76/Vmn1r78/Vmn1r80/Vmn1r81/Vmn1r82/Vmn1r83/Vmn1r84/Vmn1r87/Vmn1r89";28
"strong";"strong";"GO:0016503";"pheromone receptor activity";"28/316";"99/22669";4.85167117283082e-29;5.43387171357052e-27;5.26023295580605e-27;"Vmn1r225/Vmn1r226/Vmn1r227/Vmn1r228/Vmn1r229/Vmn1r230/Vmn1r231/Vmn1r232/Vmn1r233/Vmn1r234/Vmn1r235/Vmn1r236/Vmn1r237/Vmn1r66/Vmn1r67/Vmn1r70/Vmn1r73/Vmn1r74/Vmn1r75/Vmn1r76/Vmn1r78/Vmn1r80/Vmn1r81/Vmn1r82/Vmn1r83/Vmn1r84/Vmn1r87/Vmn1r89";28
"strong";"strong";"GO:0004197";"cysteine-type endopeptidase activity";"12/316";"96/22669";9.5985066870185e-09;5.37516374473036e-07;5.20340099348898e-07;"4930486L24Rik/Ctla2a/Ctla2b/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsll3/Ctsm/Ctsq/Ctsr";12
"strong";"strong";"GO:0005496";"steroid binding";"10/316";"119/22669";6.68873027992837e-06;0.000249712597117326;0.000241733059239516;"Scgb1b12/Scgb1b15/Scgb1b19/Scgb1b2/Scgb1b20/Scgb1b24/Scgb1b27/Scgb1b3/Scgb1b30/Scgb1b7";10
"strong";"strong";"GO:0033691";"sialic acid binding";"4/316";"12/22669";1.67898441508099e-05;0.000537275012825917;0.000520106450385991;"4931406B18Rik/Cd33/Siglecf/Siglecg";4
"strong";"strong";"GO:0008146";"sulfotransferase activity";"6/316";"56/22669";0.000126420837406393;0.00353978344737901;0.00342667006654171;"Sult2a1/Sult2a2/Sult2a3/Sult2a4/Sult2a5/Sult2a6";6
"strong";"strong";"GO:0004875";"complement receptor activity";"3/316";"13/22669";0.000691792841353167;0.0154961596463109;0.0150009816125003;"Fpr-rs3/Fpr-rs4/Fpr-rs6";3
"strong";"strong";"GO:0043394";"proteoglycan binding";"4/316";"38/22669";0.00188226997445664;0.038329861298026;0.0371050349031643;"Mfn2/Psg17/Psg22/Psg23";4
"weak";"weak";"GO:0005549";"odorant binding";"140/646";"493/22669";4.5202584330718e-101;2.05671758704767e-98;2.05671758704767e-98;"Olfr112/Olfr113/Olfr114/Olfr115/Olfr116/Olfr125/Olfr126/Olfr127/Olfr128/Olfr143/Olfr1442/Olfr1443/Olfr1444/Olfr1445/Olfr1446/Olfr1447/Olfr1448/Olfr1449/Olfr145/Olfr1450/Olfr1451/Olfr1453/Olfr1454/Olfr1457/Olfr1459/Olfr146/Olfr1461/Olfr1462/Olfr1463/Olfr1465/Olfr1466/Olfr1467/Olfr1469/Olfr147/Olfr1471/Olfr1472/Olfr1474/Olfr1475/Olfr1477/Olfr1480/Olfr1484/Olfr1487/Olfr1489/Olfr1491/Olfr1494/Olfr1495/Olfr1497/Olfr1499/Olfr1500/Olfr1501/Olfr1502/Olfr1504/Olfr1505/Olfr151/Olfr1537/Olfr160/Olfr229/Olfr25/Olfr250/Olfr251/Olfr26/Olfr27/Olfr292/Olfr293/Olfr294/Olfr295/Olfr297/Olfr298/Olfr299/Olfr301/Olfr304/Olfr305/Olfr307/Olfr310/Olfr368/Olfr44/Olfr761/Olfr874/Olfr875/Olfr876/Olfr877/Olfr878/Olfr881/Olfr883/Olfr884/Olfr885/Olfr887/Olfr888/Olfr889/Olfr890/Olfr891/Olfr893/Olfr894/Olfr895/Olfr898/Olfr901/Olfr902/Olfr904/Olfr905/Olfr906/Olfr907/Olfr910/Olfr911-ps1/Olfr912/Olfr913/Olfr914/Olfr916/Olfr917/Olfr918/Olfr920/Olfr921/Olfr922/Olfr923/Olfr924/Olfr926/Olfr930/Olfr933/Olfr935/Olfr936/Olfr937/Olfr938/Olfr943/Olfr944/Olfr945/Olfr948/Olfr951/Olfr952/Olfr954/Olfr955/Olfr957/Olfr965/Olfr967/Olfr968/Olfr969/Olfr970/Olfr971/Olfr972/Olfr974/Olfr983/Olfr985";140
"weak";"weak";"GO:0005186";"pheromone activity";"14/646";"17/22669";1.27490153257322e-19;2.90040098660407e-17;2.90040098660407e-17;"Esp1/Esp15/Esp16/Esp18/Esp23/Esp24/Esp3/Esp31/Esp34/Esp36/Esp38/Esp4/Esp6/Esp8";14
